node	ismarine
Ischikauia_steenackeri	False
n41	False
Megalobrama_amblycephala	False
Parabramis_pekinensis	False
n58	False
Algansea_avia	False
Exoglossum_laurae	False
Exoglossum_maxillingua	False
n92	False
Nocomis_micropogon	False
n9595	False
n96	False
n9797	False
n101	False
n104	False
Yuriria_alta	False
Notropis_atherinoides	False
Notropis_calientis	False
n115115	False
Couesius_plumbeus	False
n160160	False
n162162	False
n165	False
Hypselobarbus_jerdoni	False
n166166	False
n172172	False
n173173	False
n182182	False
n184184	False
Garra_bicornuta	False
n206206	False
Crossocheilus_oblongus	False
n223223	False
n224	False
n230	False
n230230	False
Pseudocrossocheilus_liuchengensis	False
n232	False
Pseudocrossocheilus_tridentis	False
Qianlabeo_striatus	False
n241241	False
n254	False
Carassius_carassius	False
Carassius_gibelio	False
Labeo_angra	False
n282	False
n285	False
Labeo_niloticus	False
Dascyllus_aruanus	True
Parma_oligolepis	True
n324324	True
n553553	True
n578578	True
Cepola_macrophthalma	True
Chilomycterus_reticulatus	True
n582582	True
Belonoperca_chabanaudi	True
Grammistops_ocellatus	True
n587587	True
Rypticus_saponaceus	True
n595595	False
Girella_punctata	True
n599599	True
Thalassoma_pavo	False
Omegophora_armilla	True
n602	True
n606	False
n607607	False
n608608	False
Tetraodon_miurus	False
n612	True
n626626	True
Hippichthys_penicillus	False
Hippocampus_breviceps	False
Lethrinus_olivaceus	True
n629	True
n631631	True
n662662	False
n667667	True
Idiotropiscis_lumnitzeri	True
Kentrocapros_rosapinto	True
Tetrosomus_gibbosus	True
Tetrosomus_concatenatus	True
Tetrosomus_reipublicae	True
n672672	True
n674674	True
Canthigaster_bennetti	True
Lagocephalus_suezensis	True
n678	True
Canthigaster_valentini	True
Anoplocapros_inermis	True
Anoplocapros_lenticularis	True
n701701	False
n742742	False
Astatotilapia_calliptera	False
Melanochromis_vermivorus	False
n744744	False
n746	False
Cyathopharynx_furcifer	False
Ophthalmotilapia_nasuta	False
n758758	False
n770770	False
Aphyosemion_ahli	False
n773773	False
n776	False
Aphyosemion_primigenium	False
Epiplatys_bifasciatus	False
n778778	False
n783783	False
n784784	False
Laimosemion_mahdiaensis	False
Rivulus_cylindraceus	False
Neofundulus_paraguayensis	False
Trigonectes_rubromarginatus	False
Aphyosemion_elberti	False
Aphyosemion_exigoideum	False
